question,side,magnitude,kind,n,window_days,entry_price,model_prob,gap,won,r_mult,volume
Will there be exactly 0 earthquakes of magnitude 6.5 or higher worldwide from July 6 - July 12?,Yes,6.5,exactly,0,7,0.405,0.4141,0.0091,1,1.4691,9954.123704
Will there be exactly 0 earthquakes of magnitude 6.5 or higher worldwide from July 6 - July 12?,No,6.5,exactly,0,7,0.595,0.5859,-0.0091,0,-1.0,9954.123704
Will there be exactly 1 earthquake of magnitude 6.5 or higher worldwide from June 15 - 21?,Yes,6.5,exactly,1,7,0.36,0.3651,0.0051,0,-1.0,9221.054163
Will there be exactly 1 earthquake of magnitude 6.5 or higher worldwide from June 15 - 21?,No,6.5,exactly,1,7,0.64,0.6349,-0.0051,1,0.5625,9221.054163
Will there be more than 5 earthquakes of magnitude 6.5 or higher worldwide from July 6 - July 12?,Yes,6.5,more_than,5,7,0.015,0.0003,-0.0147,0,-1.0,901.4670310000001
Will there be more than 5 earthquakes of magnitude 6.5 or higher worldwide from July 6 - July 12?,No,6.5,more_than,5,7,0.985,0.9997,0.0147,1,0.0152,901.4670310000001
Will there be exactly 11 earthquakes of magnitude 5.5 or higher worldwide from August 3 - August 9?,Yes,5.5,exactly,11,7,0.1,0.1055,0.0055,0,-1.0,883.942129
Will there be exactly 11 earthquakes of magnitude 5.5 or higher worldwide from August 3 - August 9?,No,5.5,exactly,11,7,0.9,0.8945,-0.0055,1,0.1111,883.942129
Megaquake by June 30?,Yes,8.0,at_least,1,182.04,0.445,0.422,-0.023,0,-1.0,88324.36435599986
Megaquake by June 30?,No,8.0,at_least,1,182.04,0.555,0.578,0.023,1,0.8018,88324.36435599986
Will there be exactly 4 earthquakes of magnitude 6.5 or higher worldwide from August 3 - August 9?,Yes,6.5,exactly,4,7,0.025,0.0104,-0.0146,0,-1.0,8723.122
Will there be exactly 4 earthquakes of magnitude 6.5 or higher worldwide from August 3 - August 9?,No,6.5,exactly,4,7,0.975,0.9896,0.0146,1,0.0256,8723.122
Will there be exactly 3 earthquakes of magnitude 6.5 or higher worldwide from August 17 - August 23?,Yes,6.5,exactly,3,7,0.31,0.0473,-0.2627,0,-1.0,852.843166
Will there be exactly 3 earthquakes of magnitude 6.5 or higher worldwide from August 17 - August 23?,No,6.5,exactly,3,7,0.69,0.9527,0.2627,1,0.4493,852.843166
Will there be exactly 7 earthquakes of magnitude 5.5 or higher worldwide from July 14 - July 19?,Yes,5.5,exactly,7,6,0.165,0.138,-0.027,0,-1.0,8473.968890000004
Will there be exactly 7 earthquakes of magnitude 5.5 or higher worldwide from July 14 - July 19?,No,5.5,exactly,7,6,0.835,0.862,0.027,1,0.1976,8473.968890000004
Will there be exactly 13 earthquakes of magnitude 5.5 or higher worldwide from August 17 - August 23,Yes,5.5,exactly,13,7,0.26,0.0602,-0.1998,0,-1.0,8384.814035999998
Will there be exactly 13 earthquakes of magnitude 5.5 or higher worldwide from August 17 - August 23,No,5.5,exactly,13,7,0.74,0.9398,0.1998,1,0.3514,8384.814035999998
Will there be exactly 4 earthquakes of magnitude 6.5 or higher worldwide from June 29 - July 5?,Yes,6.5,exactly,4,7,0.07,0.0104,-0.0596,0,-1.0,815.4864
Will there be exactly 4 earthquakes of magnitude 6.5 or higher worldwide from June 29 - July 5?,No,6.5,exactly,4,7,0.93,0.9896,0.0596,1,0.0753,815.4864
Will there be 6 or fewer earthquakes of magnitude 5.5 or higher worldwide from August 10 - August 16,Yes,5.5,at_most,6,7,0.285,0.1701,-0.1149,0,-1.0,8146.490482999999
Will there be 6 or fewer earthquakes of magnitude 5.5 or higher worldwide from August 10 - August 16,No,5.5,at_most,6,7,0.715,0.8299,0.1149,1,0.3986,8146.490482999999
Will there be exactly 3 earthquakes of magnitude 6.5 or higher worldwide from July 20 - July 26?,Yes,6.5,exactly,3,7,0.04,0.0473,0.0073,0,-1.0,807.4330820000001
Will there be exactly 3 earthquakes of magnitude 6.5 or higher worldwide from July 20 - July 26?,No,6.5,exactly,3,7,0.96,0.9527,-0.0073,1,0.0417,807.4330820000001
