mechanic,category,threshold,n,win_rate,mean_r,t_stat,p_value
loser (отвергнута),climate,0.05,27,0.0,-1.0,-inf,0.0
loser (отвергнута),climate,0.08,28,0.0,-1.0,-inf,0.0
loser (отвергнута),climate,0.1,29,0.0,-1.0,-inf,0.0
loser (отвергнута),earthquake,0.05,13,0.0769,0.7094,0.415,0.6855
loser (отвергнута),earthquake,0.08,13,0.0769,0.0256,0.025,0.9805
loser (отвергнута),earthquake,0.1,16,0.125,0.3158,0.351,0.7302
loser (отвергнута),economy,0.05,17,0.0,-1.0,-inf,0.0
loser (отвергнута),economy,0.08,19,0.0,-1.0,-inf,0.0
loser (отвергнута),economy,0.1,20,0.0,-1.0,-inf,0.0
loser (отвергнута),geopolitics,0.05,17,0.0,-1.0,-inf,0.0
loser (отвергнута),geopolitics,0.08,18,0.0556,-0.2063,-0.26,0.798
loser (отвергнута),geopolitics,0.1,18,0.0556,-0.2063,-0.26,0.798
loser (отвергнута),natural_disaster,0.05,13,0.0769,0.7094,0.415,0.6855
loser (отвергнута),natural_disaster,0.08,13,0.0769,0.0256,0.025,0.9805
loser (отвергнута),natural_disaster,0.1,16,0.125,0.3158,0.351,0.7302
loser (отвергнута),nuclear,0.05,3,0.0,-1.0,-inf,0.0
loser (отвергнута),nuclear,0.08,3,0.0,-1.0,-inf,0.0
loser (отвергнута),nuclear,0.1,3,0.0,-1.0,-inf,0.0
loser (отвергнута),recession,0.05,3,0.0,-1.0,-inf,0.0
loser (отвергнута),recession,0.08,3,0.0,-1.0,-inf,0.0
loser (отвергнута),recession,0.1,3,0.0,-1.0,-inf,0.0
loser (отвергнута),war,0.05,1,0.0,-1.0,,
loser (отвергнута),war,0.08,1,0.0,-1.0,,
loser (отвергнута),war,0.1,1,0.0,-1.0,,
loser (отвергнута),weather,0.05,2,0.0,-1.0,-inf,0.0
loser (отвергнута),weather,0.08,2,0.0,-1.0,-inf,0.0
loser (отвергнута),weather,0.1,3,0.0,-1.0,-inf,0.0
loser (отвергнута),world,0.05,21,0.0,-1.0,-inf,0.0
loser (отвергнута),world,0.08,22,0.0455,-0.3506,-0.54,0.5949
loser (отвергнута),world,0.1,22,0.0455,-0.3506,-0.54,0.5949
loser (отвергнута),ALL (pooled),0.05,117,0.0171,-0.6201,-2.319,0.0222
loser (отвергнута),ALL (pooled),0.08,122,0.0328,-0.5472,-2.446,0.0159
loser (отвергнута),ALL (pooled),0.1,131,0.0458,-0.4605,-2.107,0.037
favorite (боевая),climate,0.05,27,1.0,0.038,21.555,0.0
favorite (боевая),climate,0.08,28,1.0,0.0601,15.047,0.0
favorite (боевая),climate,0.1,29,1.0,0.0816,19.001,0.0
favorite (боевая),earthquake,0.05,13,0.9231,-0.0406,-0.508,0.6207
favorite (боевая),earthquake,0.08,13,0.9231,-0.012,-0.146,0.8866
favorite (боевая),earthquake,0.1,16,0.875,-0.0496,-0.535,0.6008
favorite (боевая),economy,0.05,17,1.0,0.0291,8.766,0.0
favorite (боевая),economy,0.08,19,1.0,0.0424,7.251,0.0
favorite (боевая),economy,0.1,20,1.0,0.0617,7.269,0.0
favorite (боевая),geopolitics,0.05,17,1.0,0.0379,11.989,0.0
favorite (боевая),geopolitics,0.08,18,0.9444,0.0016,0.027,0.9785
favorite (боевая),geopolitics,0.1,18,0.9444,0.0121,0.201,0.8429
favorite (боевая),natural_disaster,0.05,13,0.9231,-0.0412,-0.516,0.6155
favorite (боевая),natural_disaster,0.08,13,0.9231,-0.0138,-0.167,0.8698
favorite (боевая),natural_disaster,0.1,16,0.875,-0.0426,-0.456,0.655
favorite (боевая),nuclear,0.05,3,1.0,0.0471,inf,0.0
favorite (боевая),nuclear,0.08,3,1.0,0.0811,inf,0.0
favorite (боевая),nuclear,0.1,3,1.0,0.091,12.665,0.0062
favorite (боевая),recession,0.05,3,1.0,0.0471,inf,0.0
favorite (боевая),recession,0.08,3,1.0,0.0564,8.368,0.014
favorite (боевая),recession,0.1,3,1.0,0.0737,5.446,0.0321
favorite (боевая),war,0.05,1,1.0,0.0466,,
favorite (боевая),war,0.08,1,1.0,0.0695,,
favorite (боевая),war,0.1,1,1.0,0.0929,,
favorite (боевая),weather,0.05,2,1.0,0.0224,2.316,0.2595
favorite (боевая),weather,0.08,2,1.0,0.0224,2.316,0.2595
favorite (боевая),weather,0.1,3,1.0,0.0746,3.491,0.0732
favorite (боевая),world,0.05,21,1.0,0.0315,7.733,0.0
favorite (боевая),world,0.08,22,0.9545,0.0087,0.179,0.8595
favorite (боевая),world,0.1,22,0.9545,0.0191,0.388,0.7018
favorite (боевая),ALL (pooled),0.05,117,0.9829,0.0183,1.457,0.1479
favorite (боевая),ALL (pooled),0.08,122,0.9672,0.0238,1.377,0.1712
favorite (боевая),ALL (pooled),0.1,131,0.9542,0.0273,1.37,0.1731
