year,equity,equity_prev,return_pct
2006,1100.0350140245298,1000.0,10.003501402452986
2007,1351.0499063634002,1100.0350140245298,22.81880932321605
2008,1270.4111782883829,1351.0499063634002,-5.968597288317145
2009,1224.4683465842538,1270.4111782883829,-3.616374957124313
2010,1265.6378730072665,1224.4683465842538,3.3622368873689634
2011,1552.562365178772,1265.6378730072665,22.67034657312741
2012,1770.2014258978124,1552.562365178772,14.018055931297813
2013,2155.147636390361,1770.2014258978124,21.745898792128205
2014,2554.4143749480927,2155.147636390361,18.526189659398938
2015,2340.7812807776136,2554.4143749480927,-8.36329047728681
2016,2467.206916116787,2340.7812807776136,5.40100163895596
2017,3377.531510938049,2467.206916116787,36.89696996529379
2018,3012.5986328077142,3377.531510938049,-10.804721642078219
2019,3316.774071030345,3012.5986328077142,10.096779402012213
2020,3927.261924761853,3316.774071030345,18.40607290872429
2021,5145.454909323315,3927.261924761853,31.01888816940399
2022,4877.865892295892,5145.454909323315,-5.200492896022957
2023,5160.734918509034,4877.865892295892,5.79903245515434
2024,4872.990370622136,5160.734918509034,-5.5756506084995605
2025,5150.384354750138,4872.990370622136,5.692479628121805
2026,4991.913555379893,5150.384354750138,-3.076873267217217
