year,equity,equity_prev,return_pct
2016,1187.8361991101594,1000.0,18.783619911015936
2017,1545.1908789927372,1187.8361991101594,30.08450829754825
2018,1421.5468884038253,1545.1908789927372,-8.001858687485374
2019,1673.3775951472032,1421.5468884038253,17.71525855373961
2020,2001.577742303388,1673.3775951472032,19.613035820962676
2021,2319.1821096630583,2001.577742303388,15.867700796581374
2022,2360.7984438637977,2319.1821096630583,1.7944401186668957
2023,2659.4287923779434,2360.7984438637977,12.649548685121669
2024,2562.0969380682495,2659.4287923779434,-3.659878188453547
2025,2761.6653777393853,2562.0969380682495,7.78926186226212
2026,2629.9102604499594,2761.6653777393853,-4.770857409136098
