year,equity,equity_prev,return_pct
2016,1199.9528265937138,1000.0,19.995282659371384
2017,1587.4298049851907,1199.9528265937138,32.2910175970335
2018,1459.161818616503,1587.4298049851907,-8.08023044331615
2019,1717.6561075018642,1459.161818616503,17.71525855373952
2020,2030.5221951102276,1717.6561075018642,18.21471051404997
2021,2351.7043951914575,2030.5221951102276,15.817714322684084
2022,2417.941734029638,2351.7043951914575,2.8165673786899603
2023,2795.109037969709,2417.941734029638,15.598692831671324
2024,2679.699872079561,2795.109037969709,-4.128968291483115
2025,2877.2998314422903,2679.699872079561,7.373958607139963
2026,2784.6764132113503,2877.2998314422903,-3.2191090139017997
