symbol,live_list,system,param,window,period,n_trades,win_rate,avg_r,total_r,max_dd_r,insufficient_data
AUDUSD,False,B_bollinger_relaxed,no_adx_filter,wf_2,test,1,0.0,-1.0,-1.0,0.0,True
AUDUSD,False,A,ADX>=20,wf_3,train,7,28.6,0.02,0.15,-1.61,True
AUDUSD,False,A,ADX>=20,wf_3,test,1,0.0,-0.65,-0.65,0.0,True
AUDUSD,False,A,ADX>=25,wf_3,train,5,40.0,0.02,0.09,-0.74,True
AUDUSD,False,A,ADX>=25,wf_3,test,1,0.0,-0.65,-0.65,0.0,True
AUDUSD,False,A,ADX>=30,wf_3,train,3,66.7,0.3,0.91,0.0,True
AUDUSD,False,A,ADX>=30,wf_3,test,0,,,,,True
AUDUSD,False,B,RSI<=25,wf_3,train,11,54.5,0.37,4.1,-2.0,True
AUDUSD,False,B,RSI<=25,wf_3,test,1,0.0,-1.0,-1.0,0.0,True
AUDUSD,False,B,RSI<=30,wf_3,train,11,54.5,0.37,4.1,-2.0,True
AUDUSD,False,B,RSI<=30,wf_3,test,1,0.0,-1.0,-1.0,0.0,True
AUDUSD,False,B,RSI<=35,wf_3,train,11,54.5,0.37,4.1,-2.0,True
AUDUSD,False,B,RSI<=35,wf_3,test,1,0.0,-1.0,-1.0,0.0,True
AUDUSD,False,B_atr_stop,ATRx1.0,wf_3,train,10,50.0,-0.07,-0.69,-3.0,True
AUDUSD,False,B_atr_stop,ATRx1.0,wf_3,test,1,0.0,-1.0,-1.0,0.0,True
AUDUSD,False,B_atr_stop,ATRx1.5,wf_3,train,10,60.0,-0.03,-0.27,-1.49,True
AUDUSD,False,B_atr_stop,ATRx1.5,wf_3,test,1,0.0,-1.0,-1.0,0.0,True
AUDUSD,False,B_atr_stop,ATRx2.0,wf_3,train,10,60.0,-0.1,-0.95,-1.37,True
AUDUSD,False,B_atr_stop,ATRx2.0,wf_3,test,1,0.0,-0.81,-0.81,0.0,True
AUDUSD,False,B_bollinger,ATRx1.0,wf_3,train,4,50.0,-0.04,-0.15,-1.0,True
AUDUSD,False,B_bollinger,ATRx1.0,wf_3,test,0,,,,,True
AUDUSD,False,B_bollinger,ATRx1.5,wf_3,train,4,50.0,-0.19,-0.76,-1.0,True
AUDUSD,False,B_bollinger,ATRx1.5,wf_3,test,0,,,,,True
AUDUSD,False,B_bollinger,ATRx2.0,wf_3,train,4,50.0,-0.27,-1.07,-1.0,True
AUDUSD,False,B_bollinger,ATRx2.0,wf_3,test,0,,,,,True
AUDUSD,False,A_relaxed,no_macd_filter,wf_3,train,6,33.3,-0.03,-0.2,-0.74,True
AUDUSD,False,A_relaxed,no_macd_filter,wf_3,test,1,0.0,-0.65,-0.65,0.0,True
AUDUSD,False,B_bollinger_relaxed,no_adx_filter,wf_3,train,7,42.9,-0.26,-1.79,-2.0,True
AUDUSD,False,B_bollinger_relaxed,no_adx_filter,wf_3,test,0,,,,,True
AUDUSD,False,A,ADX>=20,wf_4,train,8,25.0,-0.06,-0.5,-2.26,True
AUDUSD,False,A,ADX>=20,wf_4,test,5,0.0,-0.52,-2.6,-1.76,True
AUDUSD,False,A,ADX>=25,wf_4,train,6,33.3,-0.09,-0.56,-1.39,True
AUDUSD,False,A,ADX>=25,wf_4,test,4,0.0,-0.66,-2.63,-1.79,True
AUDUSD,False,A,ADX>=30,wf_4,train,3,66.7,0.3,0.91,0.0,True
AUDUSD,False,A,ADX>=30,wf_4,test,1,0.0,-0.84,-0.84,0.0,True
AUDUSD,False,B,RSI<=25,wf_4,train,12,50.0,0.26,3.1,-2.0,True
AUDUSD,False,B,RSI<=25,wf_4,test,2,50.0,-0.01,-0.02,-1.0,True
AUDUSD,False,B,RSI<=30,wf_4,train,12,50.0,0.26,3.1,-2.0,True
AUDUSD,False,B,RSI<=30,wf_4,test,2,50.0,-0.01,-0.02,-1.0,True
AUDUSD,False,B,RSI<=35,wf_4,train,12,50.0,0.26,3.1,-2.0,True
AUDUSD,False,B,RSI<=35,wf_4,test,2,50.0,-0.01,-0.02,-1.0,True
AUDUSD,False,B_atr_stop,ATRx1.0,wf_4,train,11,45.5,-0.15,-1.69,-3.0,True
AUDUSD,False,B_atr_stop,ATRx1.0,wf_4,test,2,100.0,1.0,1.99,0.0,True
AUDUSD,False,B_atr_stop,ATRx1.5,wf_4,train,11,54.5,-0.12,-1.27,-1.49,True
AUDUSD,False,B_atr_stop,ATRx1.5,wf_4,test,2,100.0,0.66,1.33,0.0,True
AUDUSD,False,B_atr_stop,ATRx2.0,wf_4,train,11,54.5,-0.16,-1.77,-1.37,True
AUDUSD,False,B_atr_stop,ATRx2.0,wf_4,test,2,100.0,0.5,1.0,0.0,True
AUDUSD,False,B_bollinger,ATRx1.0,wf_4,train,4,50.0,-0.04,-0.15,-1.0,True
AUDUSD,False,B_bollinger,ATRx1.0,wf_4,test,0,,,,,True
AUDUSD,False,B_bollinger,ATRx1.5,wf_4,train,4,50.0,-0.19,-0.76,-1.0,True
AUDUSD,False,B_bollinger,ATRx1.5,wf_4,test,0,,,,,True
AUDUSD,False,B_bollinger,ATRx2.0,wf_4,train,4,50.0,-0.27,-1.07,-1.0,True
AUDUSD,False,B_bollinger,ATRx2.0,wf_4,test,0,,,,,True
AUDUSD,False,A_relaxed,no_macd_filter,wf_4,train,7,28.6,-0.12,-0.85,-1.39,True
AUDUSD,False,A_relaxed,no_macd_filter,wf_4,test,6,16.7,-0.47,-2.34,-1.79,True
AUDUSD,False,B_bollinger_relaxed,no_adx_filter,wf_4,train,7,42.9,-0.26,-1.79,-2.0,True
AUDUSD,False,B_bollinger_relaxed,no_adx_filter,wf_4,test,0,,,,,True
AUDUSD,False,A,ADX>=20,wf_5,train,13,15.4,-0.24,-3.09,-4.86,True
AUDUSD,False,A,ADX>=20,wf_5,test,3,0.0,-0.62,-1.86,-1.12,True
AUDUSD,False,A,ADX>=25,wf_5,train,10,20.0,-0.32,-3.19,-4.01,True
AUDUSD,False,A,ADX>=25,wf_5,test,0,,,,,True
AUDUSD,False,A,ADX>=30,wf_5,train,4,50.0,0.02,0.07,-0.84,True
AUDUSD,False,A,ADX>=30,wf_5,test,0,,,,,True
AUDUSD,False,B,RSI<=25,wf_5,train,14,50.0,0.22,3.08,-2.0,True
AUDUSD,False,B,RSI<=25,wf_5,test,4,100.0,1.05,4.19,0.0,True
AUDUSD,False,B,RSI<=30,wf_5,train,14,50.0,0.22,3.08,-2.0,True
AUDUSD,False,B,RSI<=30,wf_5,test,4,100.0,1.05,4.19,0.0,True
AUDUSD,False,B,RSI<=35,wf_5,train,14,50.0,0.22,3.08,-2.0,True
AUDUSD,False,B,RSI<=35,wf_5,test,4,100.0,1.05,4.19,0.0,True
AUDUSD,False,B_atr_stop,ATRx1.0,wf_5,train,13,53.8,0.02,0.3,-3.0,True
AUDUSD,False,B_atr_stop,ATRx1.0,wf_5,test,4,100.0,1.01,4.04,0.0,True
AUDUSD,False,B_atr_stop,ATRx1.5,wf_5,train,13,61.5,0.0,0.06,-1.49,True
AUDUSD,False,B_atr_stop,ATRx1.5,wf_5,test,4,100.0,0.67,2.69,0.0,True
AUDUSD,False,B_atr_stop,ATRx2.0,wf_5,train,13,61.5,-0.06,-0.77,-1.37,True
AUDUSD,False,B_atr_stop,ATRx2.0,wf_5,test,4,100.0,0.51,2.02,0.0,True
AUDUSD,False,B_bollinger,ATRx1.0,wf_5,train,4,50.0,-0.04,-0.15,-1.0,True
AUDUSD,False,B_bollinger,ATRx1.0,wf_5,test,0,,,,,True
AUDUSD,False,B_bollinger,ATRx1.5,wf_5,train,4,50.0,-0.19,-0.76,-1.0,True
AUDUSD,False,B_bollinger,ATRx1.5,wf_5,test,0,,,,,True
