weight_combo_c,ret_20y,mean_annual,median_annual,max_dd,calmar,final
0.0,1573.6817761332104,18.074405591230377,18.746692750590164,-53.55260766854444,29.385717048052445,16736.817761332106
0.1,1420.6253539045372,17.037292793496963,18.046674297923005,-49.4574674776299,28.72418314882581,15206.253539045372
0.2,1267.2577738656623,16.009379972295054,17.29723711930213,-45.284870322285606,27.98413167238372,13672.577738656622
0.3,1116.9464741917448,14.989542025250339,16.21948681881129,-41.02987288514637,27.222762237611068,12169.464741917447
0.4,972.4100300575545,13.976868249130732,14.260698569229046,-36.57894229770846,26.58387501047215,10724.100300575545
0.5,835.7482811940372,12.970613830930308,13.611470533298897,-32.06867745951587,26.06120200152009,9357.482811940372
0.6,708.4886699432805,11.97016369687025,14.134463062724445,-27.438635861452028,25.820841587049213,8084.886699432804
0.7,591.643566882741,10.975005009764136,11.846117134307132,-22.816208122180516,25.93084546365009,6916.435668827409
0.8,485.7741495631179,9.984705740143227,9.690378580824566,-24.015877186053654,20.227208267254696,5857.741495631179
0.9,391.05715337679794,8.99889745477213,9.412864892715012,-27.19092994392861,14.3818969848847,4910.571533767979
1.0,307.35151826296,8.017260908732423,7.789502137975768,-30.308549628094756,10.140753088958702,4073.5151826296
