weight_combo_c,ret_20y,mean_annual,median_annual,max_dd,calmar,final
0.0,446.43135035721855,10.366251763853917,13.377860098788341,-56.47367075664621,7.905123651001196,5464.313503572185
0.1,443.1533266316144,10.118775641708417,13.755817789863256,-52.31585420071172,8.470727151494845,5431.533266316144
0.2,436.9366263757718,9.875083316320062,14.126768546943213,-47.91686348426267,9.118639965223828,5369.366263757718
0.3,427.9656233006162,9.63470096331391,13.887427026160658,-43.33293233659899,9.876221160762677,5279.656233006162
0.4,416.44796650219575,9.397228214939506,12.246346235965245,-38.64736460133519,10.775585109050574,5164.479665021958
0.5,402.61028226371076,9.162323588092795,10.719018612732935,-33.73483477815071,11.934556220932564,5026.102822637107
0.6,386.6938963480638,8.929693234149092,10.227319554737235,-28.778571298390908,13.43686913219646,4866.9389634806375
0.7,368.9506373777787,8.699082150803438,9.777085005941842,-23.697822818470563,15.568967672853521,4689.506373777787
0.8,349.63877627460784,8.470267240898773,9.330727040266451,-25.856586746553894,13.522232447065228,4496.387762746078
0.9,329.01915081789036,8.24305177201827,8.655272988693186,-28.10081362772448,11.708527559973477,4290.191508178904
1.0,307.35151826296,8.017260908732423,7.789502137975768,-30.308549628094756,10.140753088958702,4073.5151826296
