mechanic,category,threshold,n,win_rate,mean_r,t_stat,p_value
loser (отвергнута),climate,0.05,12,0.0,-1.0,-inf,0.0
loser (отвергнута),climate,0.08,15,0.0,-1.0,-inf,0.0
loser (отвергнута),climate,0.1,16,0.0,-1.0,-inf,0.0
loser (отвергнута),earthquake,0.05,14,0.1429,2.5714,1.052,0.3118
loser (отвергнута),earthquake,0.08,17,0.1765,1.8571,1.184,0.2538
loser (отвергнута),earthquake,0.1,17,0.1765,1.8571,1.184,0.2538
loser (отвергнута),economy,0.05,16,0.0625,1.1186,0.528,0.6052
loser (отвергнута),economy,0.08,18,0.0556,0.8832,0.469,0.645
loser (отвергнута),economy,0.1,19,0.0526,0.7841,0.439,0.6655
loser (отвергнута),geopolitics,0.05,22,0.0,-1.0,-inf,0.0
loser (отвергнута),geopolitics,0.08,23,0.0435,-0.3311,-0.495,0.6255
loser (отвергнута),geopolitics,0.1,24,0.0417,-0.359,-0.56,0.5809
loser (отвергнута),natural_disaster,0.05,15,0.1333,2.3333,1.02,0.325
loser (отвергнута),natural_disaster,0.08,18,0.1667,1.6984,1.142,0.2694
loser (отвергнута),natural_disaster,0.1,18,0.1667,1.6984,1.142,0.2694
loser (отвергнута),nuclear,0.05,35,0.0,-1.0,-inf,0.0
loser (отвергнута),nuclear,0.08,37,0.0,-1.0,-inf,0.0
loser (отвергнута),nuclear,0.1,37,0.0,-1.0,-inf,0.0
loser (отвергнута),war,0.05,1,0.0,-1.0,,
loser (отвергнута),war,0.08,1,0.0,-1.0,,
loser (отвергнута),war,0.1,1,0.0,-1.0,,
loser (отвергнута),world,0.05,25,0.0,-1.0,-inf,0.0
loser (отвергнута),world,0.08,26,0.0,-1.0,-inf,0.0
loser (отвергнута),world,0.1,26,0.0,-1.0,-inf,0.0
loser (отвергнута),ALL (pooled),0.05,140,0.0357,-0.0436,-0.102,0.9189
loser (отвергнута),ALL (pooled),0.08,155,0.0516,-0.0553,-0.16,0.8733
loser (отвергнута),ALL (pooled),0.1,158,0.0506,-0.0733,-0.215,0.8297
favorite (боевая),climate,0.05,12,1.0,0.0335,7.794,0.0
favorite (боевая),climate,0.08,15,1.0,0.0592,9.661,0.0
favorite (боевая),climate,0.1,16,1.0,0.0801,15.694,0.0
favorite (боевая),earthquake,0.05,14,0.8571,-0.1217,-1.222,0.2434
favorite (боевая),earthquake,0.08,17,0.8235,-0.1421,-1.428,0.1724
favorite (боевая),earthquake,0.1,17,0.8235,-0.1341,-1.335,0.2007
favorite (боевая),economy,0.05,16,0.9375,-0.0298,-0.459,0.6525
favorite (боевая),economy,0.08,18,0.9444,0.0002,0.004,0.9968
favorite (боевая),economy,0.1,19,0.9474,0.0251,0.439,0.6657
favorite (боевая),geopolitics,0.05,22,1.0,0.0296,8.887,0.0
favorite (боевая),geopolitics,0.08,23,0.9565,-0.0005,-0.011,0.9917
favorite (боевая),geopolitics,0.1,24,0.9583,0.0203,0.452,0.6554
favorite (боевая),natural_disaster,0.05,15,0.8667,-0.1108,-1.187,0.255
favorite (боевая),natural_disaster,0.08,18,0.8333,-0.1319,-1.398,0.1801
favorite (боевая),natural_disaster,0.1,18,0.8333,-0.1244,-1.306,0.2091
favorite (боевая),nuclear,0.05,35,1.0,0.0146,5.072,0.0
favorite (боевая),nuclear,0.08,37,1.0,0.0235,5.013,0.0
favorite (боевая),nuclear,0.1,37,1.0,0.0263,4.695,0.0
favorite (боевая),war,0.05,1,1.0,0.0116,,
favorite (боевая),war,0.08,1,1.0,0.0638,,
favorite (боевая),war,0.1,1,1.0,0.0638,,
favorite (боевая),world,0.05,25,1.0,0.0305,9.226,0.0
favorite (боевая),world,0.08,26,1.0,0.0482,9.206,0.0
favorite (боевая),world,0.1,26,1.0,0.0647,9.528,0.0
favorite (боевая),ALL (pooled),0.05,140,0.9643,-0.0107,-0.663,0.5084
favorite (боевая),ALL (pooled),0.08,155,0.9484,-0.0111,-0.592,0.5544
favorite (боевая),ALL (pooled),0.1,158,0.9494,0.0028,0.151,0.8802
