year,equity,equity_prev,return_pct
2016,1076.3550775084966,1000.0,7.635507750849668
2017,1242.2518037070527,1076.3550775084966,15.412825160129051
2018,1198.2437429312542,1242.2518037070527,-3.542603894353158
2019,1307.8713356928256,1198.2437429312542,9.14902276004299
2020,1462.410184822144,1307.8713356928256,11.81605903515377
2021,1570.6094605841868,1462.410184822144,7.3986954470781185
2022,1588.769573681036,1570.6094605841868,1.1562462567934917
2023,1715.3403439981548,1588.769573681036,7.966590776525617
2024,1638.8948076071138,1715.3403439981548,-4.456581264383952
2025,1673.952254294637,1638.8948076071138,2.139090716792813
2026,1621.9480140883825,1673.952254294637,-3.1066740447843855
