year,equity,equity_prev,return_pct
2016,1173.144530187027,1000.0,17.314453018702693
2017,1552.8709400327966,1173.144530187027,32.36825472691181
2018,1428.249574479243,1552.8709400327966,-8.02522362553334
2019,1694.881453831884,1428.249574479243,18.668437513790835
2020,2026.4112599669554,1694.881453831884,19.560648645103164
2021,2346.9895177202925,2026.4112599669554,15.81999982365696
2022,2416.623720309851,2346.9895177202925,2.9669583977177894
2023,2831.7302807209508,2416.623720309851,17.17712844256434
2024,2818.6783116639003,2831.7302807209508,-0.4609185114101799
2025,3056.5895613730977,2818.6783116639003,8.44052507605082
2026,2970.9651517800335,3056.5895613730977,-2.8013054377703073
