seed,final_equity,max_drawdown_pct
0,10601.77084432886,-36.13840417952568
1,4980.903198541283,-45.436980097830535
2,7114.949097402456,-36.84626818602077
3,5699.778240600526,-39.10725334817156
4,6376.168139990989,-39.678009456199014
5,5050.163117155985,-48.7995382586711
6,6871.399906188592,-39.250437060501156
7,4892.243683999041,-32.6832540249743
8,9135.025797086846,-45.39287554122474
9,10498.005862691605,-31.341365756861755
10,5047.735034242924,-44.49816458255366
11,12240.773070585466,-38.28194189697448
12,6280.377635891409,-37.87736765824019
13,5336.954790408748,-43.62978923490494
14,8542.958023762978,-46.46713787973621
15,6410.395014612259,-36.85741419273939
16,7239.63140214475,-38.76917482194159
17,5944.325286546715,-42.52018297031199
18,10377.429827445547,-36.049798223732346
19,8230.651443100965,-36.546479253347286
20,4187.106900684681,-41.979304512292146
21,3420.351664999321,-38.020933013940045
22,4065.9737168221486,-41.857838282485545
23,5409.499027520807,-40.50593413088134
24,4765.390999611016,-44.05190764558321
25,9513.700686559778,-49.029031386313086
26,4807.693169357154,-45.3831369660131
27,5595.94512060131,-40.60450816051195
28,5709.016349771197,-41.253569684050284
29,6785.4674029215985,-46.71743159157934
30,5248.391955367098,-38.971546875055786
31,4614.224448127059,-42.57078028846566
32,5496.933803002049,-42.09320176936692
33,8100.061951762075,-44.234275587547984
34,9945.682906854572,-34.5226784035421
35,5357.991736482877,-37.17234016547873
36,7033.503597935734,-39.53863474996576
37,5829.48809501989,-42.11755334878762
38,4409.198921773829,-43.237046144350785
39,6607.300244138474,-37.19457917606542
40,8653.905377660436,-43.07789316080656
41,8215.771739375681,-39.8102363008776
42,11301.786491160372,-39.59282139012372
43,7445.771734672226,-42.30560206470753
44,4581.976550799761,-37.35532429229021
45,9240.12145949923,-30.871747391582115
46,4625.04672095747,-37.21294723621318
47,3490.990518238731,-43.44216698201399
48,6028.074134841809,-41.93384970592789
49,6570.563992210059,-42.29392495031707
50,6990.484747356808,-36.185762264818585
51,6770.365906694529,-37.79554082243595
52,5204.066790833452,-35.29605327756406
53,10134.819020910307,-40.31416712801274
54,4703.620205735484,-44.19696378540968
55,7173.131217838264,-41.87125017404851
56,5939.074570119722,-45.90848819485076
