system,symbol,entry_date,entry_price,stop,current_price,bars_held,unrealized_r_mult,unrealized_usd
TOM,BTCUSD,2026-08-25,78982.266,75327.8156,77152.54,0,-0.501,-2.0
TOM,EURUSD,2026-08-25,1.1667,1.1587,1.168,0,0.163,0.65
RSI2,QQQ,2026-08-19,720.39,695.8778,706.32,4,-0.574,-2.3
TOM,USDJPY,2026-08-25,159.077,157.2871,158.898,0,-0.1,-0.4
